日期,單字,詞性,註解,詞性,註解,詞性,註解
12/06/2022,delegate,動,委託,,,,
12/06/2022,broaden,動,擴大；擴增,,,,
12/06/2022,supplement,動,補充,,,,
12/06/2022,emerge,動,浮現,,,,
12/06/2022,pardon,動,諒解；寛恕,,,,
12/06/2022,alleviate,動,緩和；減輕,,,,
12/06/2022,acquire,動,獲得；收購,,,,
12/06/2022,acknowledge,動,告知；確認,,,,
12/06/2022,appear,動,出現；看起來,,,,
12/06/2022,assemble,動,集合；組合,,,,
12/06/2022,intend,動,打算；意圖,,,,
12/06/2022,double,動,使兩倍,,,,
12/06/2022,anticipate,動,預期,,,,
12/06/2022,justify,動,解釋；交待,,,,
12/06/2022,devise,動,想出；設計,,,,
12/06/2022,gauge,動,評估；測量,,,,
12/06/2022,mandatory,形,必須的,,,,
12/06/2022,fledgling,形,初生的；新生的,,,,
12/06/2022,foothold,名,立足地,,,,
12/06/2022,adhere,動,遵守,,,,
12/06/2022,access,動,接近,名,接近,,
12/06/2022,announcement,名,公告,,,,
12/06/2022,incentive,名,鼓勵,,,,
12/06/2022,affix,動,粘貼；附加,名,詞綴；附件,,
12/06/2022,handle,動,處理；搬運,,,,
12/06/2022,diversity,動,使多樣化,,,,
12/06/2022,patronize,動,光顧,,,,
12/06/2022,bill,動,計費,名,帳單,,
12/06/2022,oversee,動,監督,,,,
12/06/2022,duplicate,動,重現,名,副本；複製品,形,複製的；雷同的
12/06/2022,assert,動,聲稱；主張,,,,
12/06/2022,consolidate,動,鞏固,,,,
12/06/2022,allocate,動,分配,,,,
12/06/2022,decline,動,推辭；衰退,,,,
12/06/2022,stray,動,迷路；遊蕩,名,迷路的人,形,迷路的
12/06/2022,compile,動,收集；編寫,,,,
12/06/2022,airfare,後,機票,,,,
12/06/2022,alert,動,警惕,,,,
12/06/2022,revise,動,修訂；溫習,,,,
12/06/2022,incline,動,傾斜；屈身,,,,
12/06/2022,employ,動,採用；僱用,,,,
12/06/2022,essay,動,嘗試；企圖,名,嘗試；散文；文章,,
12/06/2022,solicit,動,詢問；徵求,,,,
12/06/2022,deteriorate,動,惡化；變質；逆轉,,,,
12/06/2022,hasten,動,匆忙；敦促,,,,
12/06/2022,nurture,動,培育,名,培育,,
12/06/2022,interfere,動,乾擾,,,,
12/06/2022,inspect,動,檢查；核查,,,,
12/06/2022,reluctant,形,不情願的,,,,
12/06/2022,delegate,動,代表；委派為,,,,
12/06/2022,held,動,追究；握持,,,,
12/06/2022,accountable,形,負責任的,,,,
12/06/2022,permit,動,允許,名,允許,,
12/06/2022,fabricate,動,編造；捏造,,,,
12/06/2022,exterminate,動,毀滅,,,,
12/06/2022,descendant,名,後裔,,,,
12/06/2022,essential,形,基本的,,,,
12/06/2022,patent,名,專利,,,,
12/06/2022,boon,名,福利；恩惠,,,,
12/06/2022,mayor,名,市長,,,,
12/06/2022,initiative,名,提倡；初步行動,,,,
12/06/2022,receipt,動,確認收到,名,收據,,
12/06/2022,admittance,名,入場,,,,
12/06/2022,genetic,形,遺傳的；起源的,,,,
12/06/2022,hereditary,形,遺傳的；承受的,,,,
12/06/2022,repetition,名,重複,,,,
12/06/2022,prelude,名,序幕,,,,
12/06/2022,dormitory,名,宿舍,,,,
12/06/2022,counsel,名,議案；法律顧問,,,,
12/06/2022,premonition,名,預感；徵兆,,,,
12/06/2022,magnification,名,放大；讚賞,,,,
12/06/2022,stipulation,名,規定,,,,
12/06/2022,ought to,助,應該…,,,,
12/06/2022,be going to,助,將會…,,,,
12/06/2022,used to,助,過去總是…,,,,
12/06/2022,overhaul,動,檢查,,,,
12/06/2022,retrieve,動,取回；復原；回收,,,,
12/06/2022,rural,形,鄉村的,,,,
12/06/2022,absence,名,缺席,,,,
12/06/2022,react,動,反應；應答,,,,
12/06/2022,precaution,名,預防；預防措施,,,,
12/06/2022,stockbroker,名,股票經紀人,,,,
12/06/2022,compartment,名,隔間；個別室,,,,
12/06/2022,essential,形,基本的；義務的,,,,
12/06/2022,senator,名,參議員,,,,
12/06/2022,attendant,名,服務員,,,,
12/06/2022,oppose,動,反對；抵抗,,,,
12/06/2022,inherit,動,繼承；承受,,,,
12/06/2022,ambiguously,副,模稜兩可,,,,
12/06/2022,unambiguously,副,毫不含糊地,,,,
12/06/2022,impression,名,印象；感想,,,,
12/06/2022,coarse,形,粗糙的,,,,
12/06/2022,absence,動,缺席,,,,
12/06/2022,react,動,反應；回應,,,,
12/06/2022,consent,動,同意；承諾,名,同意；承諾,,
12/06/2022,await,動,等待,,,,
12/06/2022,imperative,形,至關重要的；急迫的,,,,
12/06/2022,senator,名,參議員,,,,
12/06/2022,seldom,副,不常；很少；難得,,,,
12/06/2022,instruct,動,指導；吩咐,,,,
12/06/2022,immediately,副,立即地；當下地,,,,
12/06/2022,postmark,動,郵戳,,,,
12/06/2022,insist,動,堅持；咬定,,,,
12/06/2022,cosmetic,名,化妝品,,,,
12/06/2022,concur,動,同意,,,,
12/06/2022,intense,形,非常的；激烈的,,,,
12/06/2022,disposal,名,處理,,,,
12/06/2022,eliminate,動,排除；廢除,,,,
12/06/2022,incur,動,導致；招惹,,,,
12/06/2022,trim,動,剪枝；整理,,,,
12/06/2022,inessential,形,不重要的,名,不重要的,,
12/06/2022,assembly,名,集會；會議,,,,
12/06/2022,inorganic,形,無機的,,,,
12/06/2022,fertilizer,名,肥料,,,,
12/06/2022,readily,副,容易地；甘願地,,,,
12/06/2022,dissolve,動,溶解；解散,,,,
12/06/2022,absorb,動,吸收,,,,
12/06/2022,eventually,副,最終地,,,,
12/06/2022,compost,名,堆肥,動,堆肥,,
12/06/2022,yield,動,屈服,片,讓先,,
12/06/2022,corp yields,名,公司收益率,,,,
12/06/2022,notable,形,值得注意的,,,,
12/06/2022,relevant,形,相關的,,,,
12/06/2022,as,介,作為…,,,,
12/06/2022,appreciate,動,感激；欣賞,,,,
12/06/2022,realize,動,意識,,,,
12/06/2022,struggle,動,鬥爭,,,,
12/06/2022,pastry,名,餅；糕點,,,,
12/06/2022,federal,名,聯邦,,,,
12/06/2022,tour,動,旅遊；參觀,,,,
12/06/2022,archive,名,檔案,,,,
12/06/2022,symposium,名,座談會；討論會,,,,
12/06/2022,crew,名,全體人員；組員,,,,
12/06/2022,sapphire,名,藍寶石,,,,
12/06/2022,chain,名,鏈；連鎖；通路,動,困禁；束縛,,
12/06/2022,documentary,形,紀錄的；文件的,名,紀錄片,,
12/06/2022,individualism,名,個人主義,,,,
12/06/2022,capitalism,名,資本主義,,,,
12/06/2022,reservoir,名,水庫,,,,
12/06/2022,incentive,名,激勵,,,,
12/06/2022,equivalent,形,相等的,名,等價物；相等,,
12/06/2022,streamline,動,精簡,形,流線型的,,
12/06/2022,recruit,名,新人,動,招募,,
12/06/2022,recruiter,名,招募人員,,,,
12/06/2022,conjecture,動,推測,,,,
12/06/2022,celebrity,名,名人,,,,
12/06/2022,charity,名,慈善機構；和藹,,,,
12/06/2022,promising,形,有前途的,,,,
12/06/2022,bark,動,吠；喊叫,,,,
12/06/2022,venture,名,風險投資；冒險者,動,敢於；敢嘗試,,
12/06/2022,disappoint,動,辜負；使失望,,,,
12/06/2022,fascinate,動,吸引；誘惑,,,,
12/06/2022,lounge,名,休息室,,,,
12/06/2022,inquiry,名,查詢；疑問,,,,
12/06/2022,associate,名,合夥人；合作人；聯想,動,關聯,,
12/06/2022,truly,副,忠誠地；真實地,,,,
12/06/2022,delight,動,敬佩；喜悅,名,喜悅,,
12/06/2022,state,動,陳述,名,狀態,,
12/06/2022,adequate,形,足夠的；適當的,,,,
12/06/2022,inadequate,形,不足夠的,,,,
12/06/2022,frustrate,動,挫敗,形,惘,,
12/06/2022,excite,動,激發；使興𡚒,,,,
12/06/2022,turbulence,名,湍流；不穩定氣流,,,,
12/06/2022,suburban,名,郊區的,,,,
12/06/2022,underprivileged,名,弱勢群體,,,,
12/06/2022,devote,動,奉獻；致力於,,,,
12/06/2022,substantial,形,重大的；巨大的；富裕的,,,,
12/06/2022,stipulate,動,規定,,,,
12/06/2022,reimbursement,名,報銷,,,,
12/06/2022,commission,名,定制；傭金；權力,,,,
12/06/2022,revision,名,修訂,,,,
12/06/2022,agency,名,機構；辦事處,,,,
12/06/2022,escort,動,護送；押送,,,,
12/06/2022,facilitate,動,促進,,,,
12/06/2022,fiscal,名,財務代理人,形,財務的,,
12/06/2022,pertinent,形,相關的,,,,
12/06/2022,itinerary,後,行程,形,行程的,,
12/06/2022,philanthropic,形,慈善的,,,,
12/06/2022,relieve,動,緩解,,,,
12/06/2022,stress,名,壓力,,,,
12/06/2022,depart,動,出發,,,,
12/06/2022,viewership,名,收視率,,,,
12/06/2022,slightly,副,輕微地,,,,
12/06/2022,columnist,名,專欄作家,,,,
12/06/2022,defrost,動,解凍,,,,
12/06/2022,curtail,動,削減,,,,
12/06/2022,translator,名,譯者,,,,
12/06/2022,effort,名,努力；成就,,,,
12/06/2022,conservationist,名,環保主義者,,,,
12/06/2022,merchandise,名,商品；貨物,,,,
12/06/2022,embassy,名,大使館,,,,
12/06/2022,private,形,私人的,,,,
12/06/2022,division,名,分配；部門,,,,
12/06/2022,incline,動,傾斜,,,,
12/06/2022,talent,名,天賦,,,,
12/06/2022,talented,形,有才華的,,,,
12/06/2022,thorough,形,徹底的,,,,
12/06/2022,in spite of,介,儘管；雖然,,,,
12/06/2022,encounter,名,遇到,,,,
12/06/2022,declaration,名,宣言,,,,
12/06/2022,attendant,名,服務員,,,,
12/06/2022,twofold,形,兩倍的,,,,
12/06/2022,feasibility,名,可行性；可能性,,,,
12/06/2022,incentive,名,激勵,,,,
12/06/2022,incentives,名,激勵措施,,,,
12/06/2022,feasible,形,可行的,,,,
12/06/2022,preceding,形,前面的；過急的,,,,
12/06/2022,underway,副,進行著,,,,
12/06/2022,grant,動,授予,,,,
12/06/2022,ellipsis,名,省略,,,,
12/06/2022,variadic,名,可變參數,,,,
12/06/2022,ahead,副,提前 ,形,提前的,,
12/06/2022,vein,名,靜脈,,,,
12/06/2022,peculiar,形,奇特的,名,特有資產,,
12/06/2022,for the sake of,片,為了…,,,,
12/06/2022,misuse,名,濫用,動,濫用,,
12/06/2022,idiosyncratic,形,異質的,,,,
12/06/2022,syntactically,副,句法上地,,,,
12/06/2022,amongst other things,片,除其它外,,,,
12/06/2022,snippet,名,片段,,,,
12/06/2022,deviate,動,偏離,,,,
12/06/2022,secure,動,確保,形,安全的,,
12/06/2022,convene,動,召開,,,,
12/06/2022,landlord,名,房東；地主,,,,
12/06/2022,commitment,名,承諾,,,,
12/06/2022,consensus,名,共識,,,,
12/06/2022,brochure,名,手冊,,,,
12/06/2022,vital,形,重要的；活力的,,,,
12/06/2022,waive,動,放棄,,,,
12/06/2022,forbid,動,禁止,,,,
12/06/2022,executive,名,管理人員,形,管理的,,
12/06/2022,still-life,名,靜態,,,,
12/06/2022,express,動,表達；表示,,,,
12/06/2022,regard,動,看待；敬仰；關心,,,,
12/06/2022,utility,名,效用；公益事業,,,,
12/06/2022,react,動,反應,,,,
12/06/2022,congress,名,國會,,,,
12/06/2022,forum,名,論壇；法庭；座談會,,,,
12/06/2022,influx,名,湧入,,,,
12/06/2022,cope,動,對付；應付,,,,
12/06/2022,dictate,動,主宰；指揮,名,命令；指揮,,
12/06/2022,grant,動,授予,名,補助金；授予物,,
12/06/2022,halve,動,減半,,,,
12/06/2022,refrain,動,避免,,,,
12/06/2022,regardless,副,不管；無論,,,,
12/06/2022,wise,形,明智的,,,,
12/06/2022,clerk,名,店員,,,,
12/06/2022,departure,名,出發；離開,,,,
12/06/2022,impressive,形,令人印象深刻的,,,,
12/06/2022,affordable,形,經濟實惠的,,,,
12/06/2022,disclose,動,暴露；透露,,,,
12/06/2022,parcel,名,包裹,,,,
12/06/2022,tentatively,副,姑且的,,,,
12/06/2022,apparently,副,顯然地,,,,
12/06/2022,dispatch,動,派遣,,,,
12/06/2022,austerity,名,緊縮,,,,
12/06/2022,nevertheless,副,儘管如此,,,,
12/06/2022,coincide,動,重合；吻合,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,
12/06/2022,,,,,,,